,Path,Flight ID,PNR ID,Class
0,1,INV-ZZ-5025219,ACBS92,EC
1,1,INV-ZZ-5025219,ASQW29,BC
2,1,INV-ZZ-5025219,BFNJ82,EC
3,1,INV-ZZ-5025219,BFXC92,EC
4,1,INV-ZZ-5025219,BJNY44,PC
5,1,INV-ZZ-5025219,BMOC35,BC
6,1,INV-ZZ-5025219,BOHA86,EC
7,1,INV-ZZ-5025219,DOCV87,EC
8,1,INV-ZZ-5025219,EDDL70,BC
9,1,INV-ZZ-5025219,EYBM67,BC
10,1,INV-ZZ-5025219,FLOT48,PC
11,1,INV-ZZ-5025219,FSRD41,BC
12,1,INV-ZZ-5025219,GXWJ97,EC
13,1,INV-ZZ-5025219,GYXG89,EC
14,1,INV-ZZ-5025219,HWZC88,EC
15,1,INV-ZZ-5025219,IHVW74,EC
16,1,INV-ZZ-5025219,JARR61,PC
17,1,INV-ZZ-5025219,JAWM74,EC
18,1,INV-ZZ-5025219,KJQS33,BC
19,1,INV-ZZ-5025219,KJTO20,EC
20,1,INV-ZZ-5025219,KJYR74,BC
21,1,INV-ZZ-5025219,LEHN69,EC
22,1,INV-ZZ-5025219,LLXD68,EC
23,1,INV-ZZ-5025219,LWTY14,EC
24,1,INV-ZZ-5025219,MOND64,FC
25,1,INV-ZZ-5025219,NBCG32,PC
26,1,INV-ZZ-5025219,NEAZ82,FC
27,1,INV-ZZ-5025219,NUIZ51,PC
28,1,INV-ZZ-5025219,OWIO84,EC
29,1,INV-ZZ-5025219,PFAP14,EC
30,1,INV-ZZ-5025219,QFPU93,BC
31,1,INV-ZZ-5025219,QHBG89,PC
32,1,INV-ZZ-5025219,QHYP50,PC
33,1,INV-ZZ-5025219,QNBG63,EC
34,1,INV-ZZ-5025219,QRIP14,BC
35,1,INV-ZZ-5025219,RHOX59,FC
36,1,INV-ZZ-5025219,SGGA32,PC
37,1,INV-ZZ-5025219,SHWP66,BC
38,1,INV-ZZ-5025219,SKIC50,EC
39,1,INV-ZZ-5025219,SSGX76,BC
40,1,INV-ZZ-5025219,TSYL49,FC
41,1,INV-ZZ-5025219,UINT28,PC
42,1,INV-ZZ-5025219,UIVU94,BC
43,1,INV-ZZ-5025219,USQR34,FC
44,1,INV-ZZ-5025219,UTUQ85,EC
45,1,INV-ZZ-5025219,XGAK76,PC
46,1,INV-ZZ-5025219,XHJD64,PC
47,1,INV-ZZ-5025219,XNYE92,BC
48,1,INV-ZZ-5025219,XOYF15,PC
49,1,INV-ZZ-5025219,YQJL76,FC
50,1,INV-ZZ-6534302,ACBS92,EC
51,1,INV-ZZ-6534302,ASQW29,BC
52,1,INV-ZZ-6534302,BFNJ82,EC
53,1,INV-ZZ-6534302,BFXC92,EC
54,1,INV-ZZ-6534302,BJNY44,PC
55,1,INV-ZZ-6534302,BMOC35,BC
56,1,INV-ZZ-6534302,BOHA86,EC
57,1,INV-ZZ-6534302,DOCV87,EC
58,1,INV-ZZ-6534302,EDDL70,FC
59,1,INV-ZZ-6534302,EYBM67,BC
60,1,INV-ZZ-6534302,FLOT48,PC
61,1,INV-ZZ-6534302,FSRD41,BC
62,1,INV-ZZ-6534302,GXWJ97,EC
63,1,INV-ZZ-6534302,GYXG89,EC
64,1,INV-ZZ-6534302,HWZC88,EC
65,1,INV-ZZ-6534302,IHVW74,EC
66,1,INV-ZZ-6534302,JARR61,EC
67,1,INV-ZZ-6534302,JAWM74,EC
68,1,INV-ZZ-6534302,KJQS33,BC
69,1,INV-ZZ-6534302,KJTO20,EC
70,1,INV-ZZ-6534302,KJYR74,BC
71,1,INV-ZZ-6534302,LEHN69,EC
72,1,INV-ZZ-6534302,LLXD68,EC
73,1,INV-ZZ-6534302,LWTY14,EC
74,1,INV-ZZ-6534302,MOND64,FC
75,1,INV-ZZ-6534302,NBCG32,PC
76,1,INV-ZZ-6534302,NEAZ82,FC
77,1,INV-ZZ-6534302,NUIZ51,PC
78,1,INV-ZZ-6534302,OWIO84,EC
79,1,INV-ZZ-6534302,PFAP14,EC
80,1,INV-ZZ-6534302,QFPU93,BC
81,1,INV-ZZ-6534302,QHBG89,PC
82,1,INV-ZZ-6534302,QHYP50,PC
83,1,INV-ZZ-6534302,QNBG63,EC
84,1,INV-ZZ-6534302,QRIP14,BC
85,1,INV-ZZ-6534302,RHOX59,FC
86,1,INV-ZZ-6534302,SGGA32,PC
87,1,INV-ZZ-6534302,SHWP66,BC
88,1,INV-ZZ-6534302,SKIC50,EC
89,1,INV-ZZ-6534302,SSGX76,BC
90,1,INV-ZZ-6534302,TSYL49,FC
91,1,INV-ZZ-6534302,UINT28,PC
92,1,INV-ZZ-6534302,UIVU94,BC
93,1,INV-ZZ-6534302,USQR34,FC
94,1,INV-ZZ-6534302,UTUQ85,EC
95,1,INV-ZZ-6534302,XGAK76,BC
96,1,INV-ZZ-6534302,XHJD64,PC
97,1,INV-ZZ-6534302,XNYE92,BC
98,1,INV-ZZ-6534302,XOYF15,PC
99,1,INV-ZZ-6534302,YQJL76,FC
