,Path,Flight ID,PNR ID,Class
0,1,INV-ZZ-5025219///INV-ZZ-6534302,YQJL76,FC
1,1,INV-ZZ-5025219///INV-ZZ-6534302,BJNY44,PC
2,1,INV-ZZ-5025219///INV-ZZ-6534302,QHBG89,PC
3,1,INV-ZZ-5025219///INV-ZZ-6534302,GYXG89,EC
4,1,INV-ZZ-5025219///INV-ZZ-6534302,BOHA86,EC
5,1,INV-ZZ-5025219///INV-ZZ-6534302,XNYE92,BC
6,1,INV-ZZ-5025219///INV-ZZ-6534302,EDDL70,FC
7,1,INV-ZZ-5025219///INV-ZZ-6534302,SHWP66,BC
8,1,INV-ZZ-5025219///INV-ZZ-6534302,BMOC35,BC
9,1,INV-ZZ-5025219///INV-ZZ-6534302,UTUQ85,EC
10,1,INV-ZZ-5025219///INV-ZZ-6534302,SKIC50,EC
11,1,INV-ZZ-5025219///INV-ZZ-6534302,LLXD68,EC
12,1,INV-ZZ-5025219///INV-ZZ-6534302,ACBS92,EC
