,Flight_ID,Source_Airport,Dest_Airport,Dep_Time,Arr_Time,Dep_Date,Arr_Date
222,13634,3,23,1,12,1,1
851,14263,3,16,1,22,1,1
962,14374,4,16,1,18,1,1
486,13898,5,27,1,12,1,1
693,14105,5,30,1,2,1,1
265,13677,6,23,1,3,1,1
994,14406,6,29,1,10,1,1
506,13918,7,17,1,9,1,1
816,14228,7,9,1,12,1,1
926,14338,7,24,1,9,1,1
941,14353,7,28,1,13,1,1
504,13916,8,24,1,12,1,1
118,13530,9,19,1,9,1,1
849,14261,9,11,1,2,1,1
555,13967,10,2,1,6,1,1
522,13934,11,9,1,19,1,1
435,13847,12,10,1,7,1,1
444,13856,12,1,1,16,1,1
453,13865,14,22,1,15,1,1
465,13877,14,1,1,17,1,1
790,14202,15,2,1,5,1,1
283,13695,16,29,1,18,1,1
351,13763,16,28,1,7,1,1
700,14112,16,8,1,22,1,1
575,13987,18,17,1,5,1,1
665,14077,19,7,1,13,1,1
834,14246,19,11,1,4,1,1
512,13924,20,29,1,20,1,1
705,14117,20,17,1,24,1,1
880,14292,20,22,1,2,1,1
629,14041,21,7,1,22,1,1
638,14050,21,22,1,21,1,1
847,14259,21,27,1,15,1,1
152,13564,22,30,1,21,1,1
165,13577,22,6,1,23,1,1
500,13912,22,13,1,23,1,1
376,13788,24,2,1,6,1,1
407,13819,24,30,1,4,1,1
61,13473,25,12,1,20,1,1
362,13774,25,10,1,7,1,1
388,13800,25,30,1,7,1,1
344,13756,26,5,1,11,1,1
719,14131,26,4,1,9,1,1
24,13436,27,8,1,17,1,1
342,13754,28,19,1,13,1,1
459,13871,30,20,1,10,1,1
716,14128,30,14,1,16,1,1
346,13758,1,30,2,12,1,1
660,14072,1,18,2,21,1,1
737,14149,1,5,2,1,1,2
761,14173,2,7,2,17,1,1
988,14400,2,20,2,10,1,1
200,13612,3,1,2,18,1,1
853,14265,3,14,2,17,1,1
102,13514,4,19,2,3,1,1
441,13853,6,21,2,11,1,1
527,13939,6,30,2,3,1,1
934,14346,6,1,2,23,1,1
218,13630,7,19,2,16,1,1
603,14015,7,8,2,13,1,1
369,13781,8,7,2,21,1,1
589,14001,8,2,2,1,1,2
14,13426,9,19,2,3,1,1
153,13565,11,7,2,10,1,1
538,13950,11,30,2,16,1,1
198,13610,12,16,2,24,1,1
338,13750,12,29,2,24,1,1
496,13908,12,15,2,3,1,1
190,13602,13,4,2,1,1,2
668,14080,13,17,2,6,1,1
2,13414,16,7,2,23,1,1
959,14371,17,22,2,9,1,1
39,13451,18,7,2,10,1,1
258,13670,18,23,2,10,1,1
211,13623,19,25,2,8,1,1
272,13684,19,9,2,8,1,1
534,13946,19,18,2,5,1,1
604,14016,20,25,2,18,1,1
952,14364,20,18,2,9,1,1
808,14220,22,2,2,19,1,1
45,13457,23,19,2,4,1,1
966,14378,23,2,2,8,1,1
427,13839,24,29,2,18,1,1
714,14126,24,2,2,7,1,1
570,13982,25,4,2,23,1,1
710,14122,25,9,2,19,1,1
730,14142,25,16,2,15,1,1
749,14161,26,9,2,21,1,1
159,13571,27,18,2,3,1,1
358,13770,28,5,2,21,1,1
678,14090,29,16,2,13,1,1
414,13826,1,11,3,7,1,1
658,14070,3,26,3,23,1,1
876,14288,3,21,3,11,1,1
888,14300,3,17,3,12,1,1
450,13862,4,3,3,22,1,1
685,14097,5,20,3,24,1,1
963,14375,5,13,3,7,1,1
68,13480,6,28,3,14,1,1
316,13728,6,14,3,1,1,2
981,14393,6,1,3,20,1,1
646,14058,7,27,3,11,1,1
148,13560,8,15,3,8,1,1
59,13471,9,13,3,13,1,1
339,13751,9,24,3,5,1,1
977,14389,10,1,3,24,1,1
972,14384,11,1,3,19,1,1
19,13431,12,10,3,19,1,1
440,13852,12,10,3,6,1,1
552,13964,12,6,3,7,1,1
63,13475,13,5,3,21,1,1
105,13517,14,3,3,20,1,1
479,13891,14,11,3,8,1,1
31,13443,16,6,3,17,1,1
663,14075,17,3,3,1,1,2
845,14257,18,3,3,6,1,1
199,13611,21,26,3,10,1,1
378,13790,21,12,3,6,1,1
374,13786,22,21,3,6,1,1
217,13629,23,12,3,5,1,1
781,14193,24,10,3,6,1,1
789,14201,24,13,3,4,1,1
336,13748,25,30,3,13,1,1
56,13468,26,6,3,6,1,1
613,14025,27,1,3,6,1,1
517,13929,1,15,4,20,1,1
677,14089,1,25,4,17,1,1
890,14302,1,18,4,13,1,1
360,13772,2,14,4,7,1,1
611,14023,3,27,4,16,1,1
797,14209,3,15,4,11,1,1
985,14397,3,26,4,3,1,2
117,13529,4,24,4,5,1,1
935,14347,4,3,4,9,1,1
16,13428,5,29,4,22,1,1
225,13637,5,2,4,6,1,1
695,14107,5,28,4,17,1,1
129,13541,6,14,4,17,1,1
561,13973,6,15,4,6,1,1
844,14256,6,9,4,8,1,1
302,13714,7,11,4,22,1,1
481,13893,10,23,4,12,1,1
485,13897,10,25,4,9,1,1
519,13931,10,16,4,23,1,1
706,14118,12,25,4,23,1,1
325,13737,13,5,4,20,1,1
520,13932,13,11,4,5,1,1
883,14295,13,20,4,2,1,2
73,13485,14,16,4,3,1,2
624,14036,14,7,4,17,1,1
755,14167,14,4,4,8,1,1
848,14260,14,1,4,3,1,2
857,14269,14,30,4,3,1,2
62,13474,15,17,4,17,1,1
741,14153,15,1,4,10,1,1
41,13453,16,20,4,5,1,1
98,13510,16,4,4,13,1,1
645,14057,16,30,4,19,1,1
525,13937,17,5,4,24,1,1
127,13539,18,20,4,17,1,1
83,13495,20,15,4,15,1,1
688,14100,20,9,4,17,1,1
858,14270,20,15,4,7,1,1
403,13815,23,11,4,1,1,2
772,14184,23,24,4,21,1,1
746,14158,26,8,4,7,1,1
874,14286,27,9,4,2,1,2
984,14396,27,17,4,11,1,1
490,13902,28,20,4,22,1,1
17,13429,29,5,4,15,1,1
550,13962,29,22,4,17,1,1
654,14066,29,22,4,20,1,1
171,13583,2,7,5,14,1,1
89,13501,4,17,5,14,1,1
778,14190,4,17,5,12,1,1
52,13464,6,16,5,1,1,2
920,14332,6,28,5,17,1,1
295,13707,9,4,5,12,1,1
505,13917,9,21,5,19,1,1
600,14012,9,27,5,14,1,1
777,14189,9,24,5,11,1,1
224,13636,10,13,5,6,1,1
627,14039,11,21,5,2,1,2
146,13558,12,15,5,11,1,1
961,14373,13,16,5,18,1,1
940,14352,14,27,5,23,1,1
996,14408,18,2,5,13,1,1
810,14222,19,12,5,9,1,1
107,13519,21,23,5,13,1,1
757,14169,22,26,5,16,1,1
141,13553,23,20,5,17,1,1
242,13654,23,13,5,21,1,1
184,13596,25,20,5,9,1,1
331,13743,25,6,5,14,1,1
826,14238,25,28,5,20,1,1
161,13573,26,1,5,16,1,1
243,13655,26,22,5,13,1,1
254,13666,26,4,5,21,1,1
371,13783,26,10,5,1,1,2
231,13643,27,16,5,8,1,1
631,14043,27,10,5,12,1,1
635,14047,27,10,5,18,1,1
711,14123,28,29,5,4,1,2
713,14125,28,4,5,12,1,1
125,13537,29,6,5,9,1,1
590,14002,29,2,5,11,1,1
905,14317,29,11,5,8,1,1
104,13516,30,18,5,9,1,1
194,13606,30,18,5,4,1,2
609,14021,30,5,5,18,1,1
807,14219,30,18,5,8,1,1
345,13757,1,12,6,7,1,1
408,13820,1,30,6,3,1,2
978,14390,1,10,6,21,1,1
625,14037,2,13,6,11,1,1
179,13591,3,5,6,1,1,2
101,13513,4,8,6,13,1,1
164,13576,6,21,6,22,1,1
939,14351,6,18,6,1,1,2
49,13461,8,11,6,24,1,1
717,14129,8,3,6,11,1,1
824,14236,8,24,6,15,1,1
136,13548,9,3,6,17,1,1
259,13671,9,8,6,5,1,2
227,13639,10,8,6,3,1,2
399,13811,10,16,6,4,1,2
470,13882,11,10,6,22,1,1
162,13574,12,16,6,15,1,1
582,13994,12,18,6,9,1,1
365,13777,15,3,6,12,1,1
924,14336,15,19,6,11,1,1
951,14363,15,16,6,15,1,1
524,13936,17,15,6,24,1,1
532,13944,17,8,6,21,1,1
650,14062,17,7,6,16,1,1
918,14330,17,5,6,9,1,1
